"cty","Name","College_Graduation_Rate_rP_gP_p50"
"cty13089","DeKalb County, GA",0.3265
"cty44007","Providence County, RI",0.3264
"cty21021","Boyle County, KY",0.3264
"cty17067","Hancock County, IL",0.3263
"cty33013","Merrimack County, NH",0.3263
"cty21071","Floyd County, KY",0.3263
"cty27103","Nicollet County, MN",0.3262
"cty48399","Runnels County, TX",0.3259
"cty13309","Wheeler County, GA",0.3258
"cty26043","Dickinson County, MI",0.3257
"cty20115","Marion County, KS",0.3257
"cty36005","Bronx County, NY",0.3255
"cty40119","Payne County, OK",0.3255
"cty19015","Boone County, IA",0.3255
"cty54033","Harrison County, WV",0.3253
"cty27151","Swift County, MN",0.3253
"cty48205","Hartley County, TX",0.3253
"cty28065","Jefferson Davis County, MS",0.3253
"cty17097","Lake County, IL",0.3252
"cty19183","Washington County, IA",0.3248
"cty19055","Delaware County, IA",0.3247
"cty51041","Chesterfield County, VA",0.3245
"cty27033","Cottonwood County, MN",0.3245
"cty28135","Tallahatchie County, MS",0.3245
"cty29183","St. Charles County, MO",0.3242
"cty48273","Kleberg County, TX",0.3242
"cty53033","King County, WA",0.324
"cty48377","Presidio County, TX",0.3239
"cty54075","Pocahontas County, WV",0.3238
"cty39013","Belmont County, OH",0.3238
"cty21227","Warren County, KY",0.3238
"cty19051","Davis County, IA",0.3238
"cty29161","Phelps County, MO",0.3237
"cty26071","Iron County, MI",0.3237
"cty37199","Yancey County, NC",0.3234
"cty20027","Clay County, KS",0.3232
"cty19123","Mahaska County, IA",0.3231
"cty38035","Grand Forks County, ND",0.323
"cty42049","Erie County, PA",0.323
"cty48151","Fisher County, TX",0.323
"cty28035","Forrest County, MS",0.323
"cty13029","Bryan County, GA",0.3226
"cty08059","Jefferson County, CO",0.3225
"cty29001","Adair County, MO",0.3225
"cty42077","Lehigh County, PA",0.3222
"cty06049","Modoc County, CA",0.3222
"cty49051","Wasatch County, UT",0.3222
"cty21171","Monroe County, KY",0.3222
