"cty","Name","Household_Income_rP_gP_pall"
"cty20027","Clay County, KS",50490
"cty55123","Vernon County, WI",50475
"cty09009","New Haven County, CT",50468
"cty48121","Denton County, TX",50468
"cty48339","Montgomery County, TX",50466
"cty42001","Adams County, PA",50464
"cty42075","Lebanon County, PA",50438
"cty20109","Logan County, KS",50402
"cty44005","Newport County, RI",50359
"cty19173","Taylor County, IA",50346
"cty16081","Teton County, ID",50325
"cty18179","Wells County, IN",50323
"cty48081","Coke County, TX",50321
"cty17071","Henderson County, IL",50304
"cty42131","Wyoming County, PA",50296
"cty51161","Roanoke County, VA",50293
"cty19175","Union County, IA",50265
"cty24035","Queen Anne's County, MD",50252
"cty42021","Cambria County, PA",50225
"cty30107","Wheatland County, MT",50224
"cty08075","Logan County, CO",50220
"cty18157","Tippecanoe County, IN",50213
"cty55111","Sauk County, WI",50209
"cty31133","Pawnee County, NE",50199
"cty20009","Barton County, KS",50187
"cty20129","Morton County, KS",50167
"cty31161","Sheridan County, NE",50163
"cty49035","Salt Lake County, UT",50158
"cty42005","Armstrong County, PA",50153
"cty16051","Jefferson County, ID",50152
"cty06075","San Francisco County, CA",50140
"cty56013","Fremont County, WY",50111
"cty19127","Marshall County, IA",50102
"cty56001","Albany County, WY",50102
"cty19135","Monroe County, IA",50094
"cty17129","Menard County, IL",50063
"cty46047","Fall River County, SD",50059
